src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,packets_per_second,bytes_per_second,avg_packet_size,min_packet_size,max_packet_size,iat_mean,iat_std,iat_min,iat_max,syn_count,ack_count,fin_count,rst_count,psh_count,label
10.0.2.1,10.0.1.1,0,0,1,0.2314,3,198,12.96,855.58,66.0,52,83,0.115711,0.053417,0.047674,0.300532,0,0,0,0,0,normal
10.0.1.4,10.0.2.4,54943,123,17,2.6264,5,1755,1.9,668.23,351.0,261,590,0.656589,0.179559,0.311541,1.247815,0,0,0,0,0,normal
10.0.1.1,10.0.2.1,26221,8080,6,50.6733,536,32160,10.58,634.65,60.0,26,73,0.094716,0.027972,0.043362,0.243512,536,0,0,0,0,ddos
10.0.1.2,10.0.2.4,40448,23,6,9.6156,42,19656,4.37,2044.18,468.0,198,784,0.234527,0.026527,0.051165,0.627876,9,7,2,13,0,bruteforce
10.0.1.1,10.0.2.2,58448,21627,17,32.668,1021,917879,31.25,28097.17,899.0,475,1164,0.032027,0.005616,0.013882,0.062866,0,0,0,0,0,ddos
10.0.2.4,10.0.1.2,65082,5432,6,4.8895,63,45171,12.88,9238.36,717.0,403,862,0.078863,0.027896,0.037158,0.210031,2,37,0,0,0,normal
10.0.2.4,10.0.1.4,53406,5432,6,19.2856,7,10311,0.36,534.65,1473.0,635,2776,3.21427,0.500139,0.473074,7.017127,3,2,0,0,0,normal
10.0.1.4,10.0.2.1,0,0,1,23.2468,152,17936,6.54,771.55,118.0,84,226,0.153952,0.041148,0.025799,0.284946,0,0,0,0,0,ddos
10.0.2.1,10.0.2.3,0,0,1,1.4823,5,355,3.37,239.49,71.0,29,136,0.370586,0.183907,0.135976,0.736522,0,0,0,0,0,normal
10.0.1.2,10.0.2.3,36119,161,17,2.4773,2,406,0.81,163.89,203.0,110,372,2.477261,1.12061,1.13995,7.126655,0,0,0,0,0,normal
10.0.1.2,10.0.2.2,48416,22,6,31.3254,646,38760,20.62,1237.33,60.0,21,81,0.048567,0.013953,0.008578,0.135262,646,0,0,0,0,ddos
10.0.2.3,10.0.1.4,59440,27017,6,21.7671,64,11648,2.94,535.12,182.0,115,219,0.34551,0.038961,0.102847,0.752613,2,63,0,0,0,normal
10.0.2.2,10.0.1.3,55034,123,17,0.6396,4,368,6.25,575.36,92.0,29,179,0.213198,0.092279,0.068908,0.385954,0,0,0,0,0,normal
10.0.1.4,10.0.2.2,0,0,1,0.4304,4,288,9.29,669.22,72.0,43,140,0.143451,0.038097,0.07139,0.309049,0,0,0,0,0,normal
10.0.1.4,10.0.2.2,47203,443,6,8.1428,39,45045,4.79,5531.85,1155.0,462,2077,0.214285,0.090372,0.076234,0.331847,2,22,0,0,0,normal
10.0.2.1,10.0.2.2,63348,6379,6,14.9156,79,73628,5.3,4936.3,932.0,327,1385,0.191226,0.089553,0.043432,0.382122,2,2,0,0,0,normal
10.0.2.1,10.0.1.3,35981,443,6,5.2594,58,26970,11.03,5127.97,465.0,270,917,0.09227,0.03362,0.035057,0.217612,2,40,0,0,0,normal
10.0.2.3,10.0.1.4,0,0,1,1.5077,2,200,1.33,132.65,100.0,51,140,1.507737,0.265089,0.421211,3.777408,0,0,0,0,0,normal
10.0.1.2,10.0.1.4,58283,21,6,8.4859,35,10150,4.12,1196.11,290.0,102,353,0.249584,0.068578,0.06043,0.591116,16,3,4,13,0,bruteforce
10.0.1.3,10.0.2.2,0,0,1,16.1984,363,27951,22.41,1725.55,77.0,59,122,0.044747,0.020609,0.016187,0.090769,0,0,0,0,0,ddos
10.0.1.1,10.0.2.1,34856,64488,17,19.608,1574,1292254,80.27,65904.58,821.0,444,1027,0.012465,0.004889,0.003754,0.022056,0,0,0,0,0,ddos
10.0.2.1,10.0.2.2,44789,3389,6,5.5515,14,5810,2.52,1046.56,415.0,315,530,0.42704,0.054442,0.120968,1.267835,14,2,1,12,0,bruteforce
10.0.1.3,10.0.1.4,37642,23,6,7.0639,36,11304,5.1,1600.25,314.0,220,527,0.201826,0.063772,0.037255,0.425038,9,0,2,15,0,bruteforce
10.0.2.3,10.0.2.1,38602,443,6,24.7396,24,35208,0.97,1423.15,1467.0,1011,2794,1.075633,0.250509,0.167603,2.507962,2,19,0,0,0,normal
10.0.2.2,10.0.1.4,44917,8080,6,12.1301,27,10233,2.23,843.6,379.0,252,579,0.466543,0.101131,0.163113,1.311334,2,15,0,0,0,normal
10.0.1.3,10.0.2.3,0,0,1,1.0919,3,375,2.75,343.44,125.0,67,232,0.545943,0.17702,0.06526,1.146027,0,0,0,0,0,normal
10.0.1.2,10.0.2.1,0,0,1,11.2772,111,7992,9.84,708.69,72.0,29,112,0.10252,0.017559,0.049447,0.193809,0,0,0,0,0,ddos
10.0.2.2,10.0.1.1,37364,514,17,0.3354,2,262,5.96,781.1,131.0,81,194,0.335426,0.09239,0.081821,0.757657,0,0,0,0,0,normal
10.0.2.4,10.0.1.2,37009,22,6,3.568,31,45663,8.69,12797.88,1473.0,551,2853,0.118934,0.024558,0.028799,0.3099,3,24,0,0,0,normal
10.0.1.4,10.0.1.3,46809,53,17,3.9447,19,7961,4.82,2018.13,419.0,230,797,0.219152,0.09226,0.09836,0.567623,0,0,0,0,0,normal
10.0.2.3,10.0.2.4,39816,3389,6,5.9274,37,11359,6.24,1916.35,307.0,194,601,0.16465,0.04204,0.068391,0.284894,8,0,5,14,0,bruteforce
10.0.2.2,10.0.1.1,36755,22,6,12.3368,17,19499,1.38,1580.55,1147.0,411,1453,0.771053,0.26468,0.119926,1.821767,2,11,0,0,0,normal
10.0.1.1,10.0.2.4,54468,8080,6,7.449,719,43140,96.52,5791.38,60.0,45,78,0.010375,0.002742,0.003967,0.028774,719,0,0,0,0,ddos
10.0.1.4,10.0.2.1,58137,22,6,10.7628,435,26100,40.42,2425.02,60.0,24,92,0.024799,0.010514,0.005471,0.046316,435,0,0,0,0,ddos
10.0.2.4,10.0.1.2,56574,443,6,18.9248,77,112805,4.07,5960.7,1465.0,879,2474,0.24901,0.102143,0.060567,0.690646,3,41,0,0,0,normal
